nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Alésia;Métro 4;2.3271926250651647;48.828152157703514;0.5
Alexandre Dumas;Métro 2;2.3945914186721278;48.856199097341126;0.75
Argentine;Métro 1;2.289435418542214;48.87566737659971;0.5
Arpajon;RER C;2.2412169696111426;48.58599680822646;0.25
Asnières - Gennevilliers Les Courtilles;Métro 13;2.284372100658843;48.93060364140038;0.5
Aulnay-sous-Bois;RER B;2.495597257086315;48.932150935734064;0.25
Avenue Emile Zola;Métro 10;2.2950189971435506;48.84703801370517;0.75
Avenue Foch;RER C;2.2747712644338454;48.86985281215763;0.75
Bagneux - Lucie Aubrac;Métro 4;2.317458362049886;48.80354822259104;0.5
Basilique de Saint-Denis;Métro 13;2.3592958408126816;48.93678306532419;0.75
Bel-Air;Métro 6;2.400867131995259;48.84142733223358;0.25
Billancourt;Métro 9;2.237891101038026;48.83191997405451;0.75
Bobigny Pablo Picasso;Métro 5;2.4493013366465726;48.906366795030564;0.75
Bondy;RER E;2.4795800358385867;48.893965864676495;0.25
Cadet;Métro 7;2.3443838837796562;48.87604838013132;0.5
Campo-Formio;Métro 5;2.358468834639247;48.835595431233266;0.75
Champigny;RER A;2.510538043646919;48.80682309456137;0.25
Châtelet les Halles;RER D;2.34697651043533;48.86174503191322;0.75
Châtillon-Montrouge;Métro 13;2.301717705004608;48.81075140670139;0.25
Chaville - Vélizy;RER C;2.1834187943404744;48.79968116446791;0.25
Choisy-le-Roi;RER C;2.411287538155699;48.76387977763339;0.25
Cité;Métro 4;2.3472322349319112;48.85493384910671;0.75
Commerce;Métro 8;2.293851708440619;48.84458485524012;0.5
Corbeil-Essonnes;RER D;2.472467657639279;48.61323864277619;0.25
Creil;RER D;2.46892902764167;49.264185555044406;0.25
Créteil - Préfecture;Métro 8;2.4593051692912615;48.77975652677895;0.25
Etienne Marcel;Métro 4;2.3489761968791085;48.86370301202431;0.5
Fort d'Aubervilliers;Métro 7;2.404075377271855;48.91475665506255;0.75
Gambetta;Métro 3B;2.398537305704572;48.865032564464;0.75
Gare de Lyon;Métro 14;2.373100581933962;48.84467563174822;0.75
Gare de Lyon;RER A;2.376365660931201;48.84340211646564;0.75
Grand Bourg;RER D;2.4348387319350167;48.64880840591746;0.25
Havre-Caumartin;Métro 3;2.3274627984235092;48.87346783937801;0.5
Houilles - Carrières-sur-Seine;RER A;2.1851757042018707;48.92034757911033;0.25
Ivry-sur-Seine;RER C;2.391677280020743;48.8139591342409;0.25
Jaurès;Métro 2;2.370269867509251;48.88159683079925;0.25
Joinville-le-Pont;RER A;2.4638739495546496;48.82119737360793;0.25
Jussieu;Métro 10;2.354944184375758;48.8462878950311;0.5
Juvisy;RER C;2.383334629403869;48.68970940912314;0.25
La Chapelle;Métro 2;2.360430336162137;48.88447648340964;0.25
La Courneuve - Aubervilliers;RER B;2.3861140570949475;48.92429743203911;0.25
La Fourche;Métro 13;2.3256869607667356;48.887424510518066;0.5
La Hacquinière;RER B;2.1516106103390045;48.695299548452454;0.25
La Norville - Saint-Germain-lès-Arpajon;RER C;2.266215906699314;48.59111916474817;0.25
Le Bourget;RER B;2.425825637815098;48.930744340383264;0.25
Le Chénay Gagny;RER E;2.5527724908646303;48.877159125382796;0.25
Le Mée;RER D;2.6255537322060074;48.538746730738936;0.25
Le Vésinet - Centre;RER A;2.1343339900216813;48.89013759185911;0.25
Les Agnettes;Métro 13;2.286263202479002;48.92308777796361;0.5
Les Halles;Métro 4;2.34600573656331;48.86252665962869;0.5
Les Yvris Noisy-le-Grand;RER E;2.5799804563719477;48.82311348135466;0.25
Madeleine;Métro 8;2.3260272117729994;48.86956561611772;0.75
Madeleine;Métro 14;2.3258100487932776;48.87054467671624;0.75
Mairie d'Aubervilliers;Métro 12;2.3807826993163266;48.913739225808136;0.75
Mairie de Montreuil;Métro 9;2.4418193772459085;48.8622744369706;0.75
Mairie de Saint-Ouen;Métro 14;2.3335458072132695;48.91164217552501;0.75
Maisse;RER D;2.393493661032251;48.39367132989446;0.25
Malakoff - Rue Etienne Dolet;Métro 13;2.2971240100835835;48.81533836595972;0.25
Massy - Palaiseau;RER C;2.2587677282577334;48.72551907437078;0.25
Massy - Verrières;RER C;2.273978779055319;48.7349579552114;0.25
Michel-Ange - Molitor;Métro 10;2.2618218573220084;48.84515597018703;0.75
Mirabeau;Métro 10;2.2730641263728333;48.84707750734599;0.75
Mitry - Claye;RER B;2.6422341369736606;48.9757479508066;0.25
Montparnasse Bienvenue;Métro 6;2.3212187199903807;48.84213060781436;0.75
Montparnasse Bienvenue;Métro 13;2.320983883036087;48.84231364506487;0.75
Montreuil - Hôpital;Métro 11;2.4546692358364623;48.878269829247664;
Musée d'Orsay;RER C;2.326623034830927;48.860365575927474;0.75
Nanterre-La-Folie;RER E;2.226568794458685;48.897581324774116;0.25
Nation;Métro 1;2.3958439887237373;48.848084289973976;0.75
Neuilly-Plaisance;RER A;2.5145898211367705;48.85252451313788;0.25
Neuville Université;RER A;2.078348820578231;49.01374275942672;0.25
Oberkampf;Métro 5;2.3686045625807752;48.86464456516527;1.0
Opéra;Métro 3;2.331128974301561;48.87150983278418;0.75
